"rodzaj","typ"
"osada prywatna","nieokreślony"
"osada rządowa","Osada"
"osada strażnicza","nieokreślony"
"osada szlachecka","Osada szlachecka"
"osada wiejska","nieokreślony"
"osada włościańska","Osada włościańska"
"osiedle","nieokreślony"
"ostrów","nie dotyczy"
"pagórek","nie dotyczy"
"pałac","nieokreślony"
"park","nie dotyczy"
"pasieka","Pasieka"
"pasmo górskie","nie dotyczy"
"pasmo górzyste","nie dotyczy"
"pasmo","nie dotyczy"
"pasmo wzgórzyste","nie dotyczy"
"pastwisko","nie dotyczy"
"piec wysoki żelazny","Piec żelazny"
"plebania","Plebania"
"plebania prawosławna","Plebania"
"plemię","nie dotyczy"
"podleśnictwo królewskie","Podleśnictwo królewskie"
"podleśniczówka","nieokreślony"
"pohost","Pogost (Pohost)"
"pojęcie","nie dotyczy"
"polana","nie dotyczy"
"pola","nie dotyczy"
"pole","nie dotyczy"
"pole z cmentarzyskiem","nie dotyczy"
"połonina","nie dotyczy"
"półwysep","nie dotyczy"
"posiadłość duchowna","Posiadłość duchowna"
"posiadłość","Posiadłość"
"posiadłość prywatna","Posiadłość"
"posiadłość rządowa","Posiadłość"
"posterunek straży granicznej","Posterunek straży granicznej"
"posterunek straży pogranicznej","Posterunek straży granicznej"
"posterunek straży skarbowej","nieokreślony"
"potok górski","nie dotyczy"
"potok","nie dotyczy"
"przedmieście","Przedmieście"
"przełęcz","nie dotyczy"
"przesmyk górski","nie dotyczy"
"przyległość dóbr","Przyległość"
"przyległość","Przyległość"
"przynależnośc dóbr","nieokreślony"
"przynależność","nieokreślony"
"przysiółek","Przysiółek (przysiołek)"
"przystanek","Przystanek"
"przystanek stacji drogi żelaznej","Przystanek drogi żelaznej"
"przystań","Przystań"
"pusta","Pusta"
"pustka","Pustka"
"pustki","Pustka"
"pustkowie","Pustka"
"puszcza","nie dotyczy"
"ramię rzeki","nie dotyczy"
"rola","nie dotyczy"
"ruiny zamku","Ruiny"
"ruina zamku","Ruiny" 
"rumunek","Rumunek"
"rzeczka","nie dotyczy"
"rzeczułka","nie dotyczy"
"rzeka","nie dotyczy"
"rzka","nie dotyczy"
"siedlisko","Siedliszcze"
"sioło rządowe","Sioło"
"sioło","Sioło"
"skała","nie dotyczy"
"słoboda","Słoboda (swoboda)"
"słobódka głuszkowiecka","Słoboda (swoboda)"
"słobódka","Słoboda (swoboda)"
"sstwo","nie dotyczy"
"sstwo niegrodowe","nie dotyczy"
"stacja drogi żelaznej","Stacja drogi żelaznej"
"stacja kolei żelaznej","Stacja drogi żelaznej" 
"stacja pocztowa","Stacja pocztowa"
"stanica kozacka","nieokreślony"
"stanica","nieokreślony"
"stannica","nieokreślony"
"stanowisko","nie dotyczy"
"stare lasy","nie dotyczy"
"stare pole","nie dotyczy"
"stare pole pruskie","nie dotyczy"
"stare terytoryum pruskie","nie dotyczy"
"starostwo","nie dotyczy"
"starostwo niegrodowe","nie dotyczy"
"staw","nie dotyczy"
"step","nie dotyczy"
"straż leśna","Straż leśna"
"struga","nie dotyczy"
"strumień","nie dotyczy"
"strumyk","nie dotyczy"
"stworzenie","nie dotyczy"
"szczyt górski","nie dotyczy"
"szczyt góry","nie dotyczy"
"szczyt","nie dotyczy"
"szczyt tatrzański","nie dotyczy"
"szkoła","nie dotyczy"
"szlak","nie dotyczy"
"szyb","nie dotyczy"
"targowisko","Targowisko"
"tartak","Tracz (tartak)"
"terytorium","nie dotyczy"
"tracz","Tracz (tartak)"
"tunel","nie dotyczy"
"turnia","nie dotyczy"
"twierdza","nieokreślony"
"uroczysko leśne","nie dotyczy"
"uroczysko","nie dotyczy"
"uroczyszcze","nie dotyczy"
"warownia litewska","Forteca"
"warownia turecka","Warownia turecka"
"wiatrak","Wiatrak"
"wieczysta dzierżawa","nie dotyczy"
"wiejskie zabudowania","nieokreślony"
"wierch","nie dotyczy"
"wierzchołek","nie dotyczy"
"wieś cerkiewna","Wieś cerkiewna"
"wieś chełmińska","Wieś chełmińska"
"wieś folwarczna","Wieś"
"wieś karczemna","Wieś"
"wieś koronna","Wieś koronna"
"wieś kościelna parafialna","Wieś kościelna"
"wieś kościelna","Wieś kościelna"
"wieś parafialna","Wieś parafialna katolicka"
"wieś poduchowna","Wieś poduchowna"
"wieś prywatna","Wieś prywatna"
"wieś rycerska","Wieś rycerska"
"wieś rządowa","Wieś"
"wieś szlachecka","Wieś szlachecka"
"wieś","Wieś"
"wieś włościańska","Wieś włościańska"
"winnica","Winnica"
"wioska","Wieś"
"własność rządowa","nieokreślony"
"własność ziemska","nieokreślony"
"włość zamkowa","nieokreślony"
"woda lecznicza","nie dotyczy"
"wybudowania","Wybudowanie"
"wybudowanie gburskie","Wybudowanie gburskie"
"wybudowanie rybackie","Wybudowanie"
"wybudowanie","Wybudowanie"
"wyniosłość","nie dotyczy"
"wysepka","nie dotyczy"
"wyspa","nie dotyczy"
"wyżyna","nie dotyczy"
"wzgórza","nie dotyczy"
"wzgórze","nie dotyczy"
"wzniesienie","nie dotyczy"
"zabudowania gospodarskie","Zabudowania wiejskie"
"zabudowania wiejskie","Zabudowania wiejskie"
"zabudowania wieśniacze","Zabudowania wiejskie"
"zabudowania włościańskie","Zabudowania wiejskie"
"zabudowania","Zabudowania wiejskie"
"zakład kąpielowy","Zakład kapielowy"
"zakład kuracyjny","Zakład kapielowy"
"zakład mleczny","Zakład mleczny"
"zakład","nieokreślony"
"zakład stadniczy","Zakład stadniczy [stadnina]"
"zakłady fabryczne","Zakład fabryczny"
"zameczek","Zamek"
"zamek","Zamek"
"zaścianek dziedziczny","Zaścianek"
"zaścianek prywatny","Zaścianek prywatny"
"zaścianek rządowy","Zaścianek"
"zaścianek szlachecki","Zaścianek szlachecki"
"zaścianek włościański","Zaścianek włościański"
"zaścianek","Zaścianek"
"zaścianki","Zaścianek"
"zatoka","nie dotyczy"
"zbiorcze","nie dotyczy"
"zbiornik wodny","nie dotyczy"
"ziemia","nie dotyczy"
"źródło","nie dotyczy"
